,precip,temp_min,date,temp_max,etp,proba_precip
0,0.0,0.7,2022-03-24,18.6,1.79,\N
1,0.0,2.7,2022-03-25,18.3,1.9500000000000002,\N
2,0.0,3.4,2022-03-26,18.5,1.71,\N
3,0.0,0.8,2022-03-27,19.1,1.6,\N
4,0.0,0.9,2022-03-28,19.5,1.62,\N
5,0.0,5.0,2022-03-29,16.4,1.21,\N
6,0.0,2.1,2022-03-30,9.4,0.9,\N
