,temp_max,date,temp_min,precip,etp
0,15.9,2022-03-23,2.0,0.0,2.24
1,17.4,2022-03-24,4.5,0.0,2.2
2,18.0,2022-03-25,3.5,0.0,1.8699999999999999
3,18.3,2022-03-26,3.9,0.0,1.8
4,18.6,2022-03-27,3.3,0.0,1.71
5,17.8,2022-03-28,5.6,0.0,1.57
6,16.5,2022-03-29,5.0,0.15,1.29
