,etp,temp,precip,date
46,0.02,10.0,0.0,2022-03-25 22:00:00
47,0.01,9.3,0.0,2022-03-25 23:00:00
48,0.01,8.0,0.0,2022-03-26 00:00:00
49,0.0,6.8,0.0,2022-03-26 01:00:00
50,0.0,5.5,0.0,2022-03-26 02:00:00
51,0.0,5.6,0.0,2022-03-26 03:00:00
52,0.0,5.1,0.0,2022-03-26 04:00:00
53,0.0,5.2,0.0,2022-03-26 05:00:00
54,0.0,5.1,0.0,2022-03-26 06:00:00
55,0.0,4.9,0.0,2022-03-26 07:00:00
56,0.01,5.8,0.0,2022-03-26 08:00:00
57,0.03,9.9,0.0,2022-03-26 09:00:00
58,0.1,12.4,0.0,2022-03-26 10:00:00
59,0.17,14.4,0.0,2022-03-26 11:00:00
60,0.22,16.0,0.0,2022-03-26 12:00:00
61,0.25,16.9,0.0,2022-03-26 13:00:00
62,0.26,17.6,0.0,2022-03-26 14:00:00
63,0.25,17.9,0.0,2022-03-26 15:00:00
64,0.22,17.9,0.0,2022-03-26 16:00:00
65,0.18,17.6,0.0,2022-03-26 17:00:00
66,0.12,16.6,0.0,2022-03-26 18:00:00
67,0.04,14.7,0.0,2022-03-26 19:00:00
68,0.01,12.7,0.0,2022-03-26 20:00:00
69,0.01,11.0,0.0,2022-03-26 21:00:00
70,0.01,10.3,0.0,2022-03-26 22:00:00
71,0.01,9.6,0.0,2022-03-26 23:00:00
72,0.01,8.6,0.0,2022-03-27 00:00:00
73,0.0,7.5,0.0,2022-03-27 01:00:00
74,0.0,6.7,0.0,2022-03-27 02:00:00
75,0.0,6.0,0.0,2022-03-27 03:00:00
76,0.0,5.0,0.0,2022-03-27 04:00:00
77,0.0,3.6,0.0,2022-03-27 05:00:00
78,0.0,3.1,0.0,2022-03-27 06:00:00
79,0.0,2.8,0.0,2022-03-27 07:00:00
80,0.01,4.7,0.0,2022-03-27 08:00:00
81,0.03,9.3,0.0,2022-03-27 09:00:00
82,0.09,12.7,0.0,2022-03-27 10:00:00
83,0.17,14.5,0.0,2022-03-27 11:00:00
84,0.21,16.1,0.0,2022-03-27 12:00:00
85,0.24,17.4,0.0,2022-03-27 13:00:00
86,0.24,18.1,0.0,2022-03-27 14:00:00
87,0.23,18.7,0.0,2022-03-27 15:00:00
88,0.2,18.8,0.0,2022-03-27 16:00:00
89,0.15,18.3,0.0,2022-03-27 17:00:00
90,0.09,17.4,0.0,2022-03-27 18:00:00
91,0.06,15.5,0.0,2022-03-27 19:00:00
92,0.03,13.4,0.0,2022-03-27 20:00:00
93,0.0,10.7,0.0,2022-03-27 21:00:00
94,0.0,7.8,0.0,2022-03-27 22:00:00
95,0.0,6.6,0.0,2022-03-27 23:00:00
96,0.0,5.9,0.0,2022-03-28 00:00:00
97,0.0,5.4,0.0,2022-03-28 01:00:00
98,0.0,5.2,0.0,2022-03-28 02:00:00
99,0.0,5.2,0.0,2022-03-28 03:00:00
100,0.0,5.2,0.0,2022-03-28 04:00:00
101,0.0,4.8,0.0,2022-03-28 05:00:00
