;date;precip;temp;etp
100;2022-03-26 04:00:00;0;4.8;0.0
101;2022-03-26 05:00:00;0;4.0;0.0
102;2022-03-26 06:00:00;0;3.2;0.0
103;2022-03-26 07:00:00;0;3.4;0.0
104;2022-03-26 08:00:00;0;5.3;0.01
105;2022-03-26 09:00:00;0;8.2;0.04
106;2022-03-26 10:00:00;0;11.7;0.08
107;2022-03-26 11:00:00;0;13.7;0.13
108;2022-03-26 12:00:00;0;15.3;0.19
109;2022-03-26 13:00:00;0;16.8;0.22
110;2022-03-26 14:00:00;0;17.4;0.23
111;2022-03-26 15:00:00;0;17.6;0.22
112;2022-03-26 16:00:00;0;17.3;0.2
113;2022-03-26 17:00:00;0;16.6;0.15
114;2022-03-26 18:00:00;0;15.6;0.1
115;2022-03-26 19:00:00;0;14.1;0.06
116;2022-03-26 20:00:00;0;13.2;0.03
117;2022-03-26 21:00:00;0;12.1;0.0
118;2022-03-26 22:00:00;0;10.6;0.0
119;2022-03-26 23:00:00;0;9.2;0.0
120;2022-03-27 00:00:00;0;7.7;0.0
121;2022-03-27 01:00:00;0;6.1;0.0
122;2022-03-27 02:00:00;0;5.8;0.0
123;2022-03-27 03:00:00;0;5.9;0.0
124;2022-03-27 04:00:00;0;5.9;0.0
125;2022-03-27 05:00:00;0;5.4;0.0
126;2022-03-27 06:00:00;0;4.7;0.0
127;2022-03-27 07:00:00;0;4.0;0.0
128;2022-03-27 08:00:00;0;5.8;0.01
129;2022-03-27 09:00:00;0;9.6;0.03
130;2022-03-27 10:00:00;0;14.0;0.08
131;2022-03-27 11:00:00;0;15.9;0.14
132;2022-03-27 12:00:00;0;17.2;0.2
133;2022-03-27 13:00:00;0;18.3;0.22
134;2022-03-27 14:00:00;0;18.9;0.24
135;2022-03-27 15:00:00;0;19.1;0.23
136;2022-03-27 16:00:00;0;18.9;0.2
137;2022-03-27 17:00:00;0;18.2;0.15
138;2022-03-27 18:00:00;0;17.1;0.09
139;2022-03-27 19:00:00;0;15.3;0.06
140;2022-03-27 20:00:00;0;13.5;0.03
141;2022-03-27 21:00:00;0;11.6;0.01
142;2022-03-27 22:00:00;0;9.5;0.0
143;2022-03-27 23:00:00;0;8.9;0.0
144;2022-03-28 00:00:00;0;8.6;0.0
145;2022-03-28 01:00:00;0;8.5;0.0
146;2022-03-28 02:00:00;0;8.4;0.0
147;2022-03-28 03:00:00;0;8.4;0.0
148;2022-03-28 04:00:00;0;8.3;0.0
149;2022-03-28 05:00:00;0;7.8;0.0
150;2022-03-28 06:00:00;0;7.1;0.0
151;2022-03-28 07:00:00;0;7.2;0.01
152;2022-03-28 08:00:00;0;8.6;0.01
153;2022-03-28 09:00:00;0;10.7;0.04
154;2022-03-28 10:00:00;0;13.3;0.08
155;2022-03-28 11:00:00;0;14.6;0.13
156;2022-03-28 12:00:00;0;15.6;0.19
157;2022-03-28 13:00:00;0;16.5;0.21
158;2022-03-28 14:00:00;0;16.8;0.22
159;2022-03-28 15:00:00;0;16.9;0.21
160;2022-03-28 16:00:00;0;16.3;0.19
161;2022-03-28 17:00:00;0;15.3;0.15
162;2022-03-28 18:00:00;0;13.9;0.1
163;2022-03-28 19:00:00;0;12.0;0.07
164;2022-03-28 20:00:00;0;10.9;0.04
165;2022-03-28 21:00:00;0;9.8;0.01
166;2022-03-28 22:00:00;0;8.6;0.0
167;2022-03-28 23:00:00;0;7.9;0.0
