;date;precip;temp;etp
0;2022-03-22 00:00:00;0;6.9;0.01
1;2022-03-22 01:00:00;0;6.3;0.01
2;2022-03-22 02:00:00;0;5.7;0.01
3;2022-03-22 03:00:00;0;5.3;0.01
4;2022-03-22 04:00:00;0;4.7;0.01
5;2022-03-22 05:00:00;0;4.1;0.01
6;2022-03-22 06:00:00;0;4.0;0.01
7;2022-03-22 07:00:00;0;3.8;0.0
8;2022-03-22 08:00:00;0;6.1;0.02
9;2022-03-22 09:00:00;0;8.2;0.07
10;2022-03-22 10:00:00;0;10.5;0.12
11;2022-03-22 11:00:00;0;12.4;0.19
12;2022-03-22 12:00:00;0;13.5;0.25
13;2022-03-22 13:00:00;0;14.4;0.3
14;2022-03-22 14:00:00;0;14.8;0.3
15;2022-03-22 15:00:00;0;15.0;0.28
16;2022-03-22 16:00:00;0;15.0;0.25
17;2022-03-22 17:00:00;0;14.5;0.2
18;2022-03-22 18:00:00;0;13.2;0.12
19;2022-03-22 19:00:00;0;10.7;0.04
20;2022-03-22 20:00:00;0;8.9;0.01
21;2022-03-22 21:00:00;0;8.0;0.01
22;2022-03-22 22:00:00;0;7.2;0.01
23;2022-03-22 23:00:00;0;6.4;0.01
24;2022-03-23 00:00:00;0;5.6;0.01
25;2022-03-23 01:00:00;0;5.2;0.01
26;2022-03-23 02:00:00;0;4.5;0.01
27;2022-03-23 03:00:00;0;3.9;0.01
28;2022-03-23 04:00:00;0;3.6;0.01
29;2022-03-23 05:00:00;0;3.1;0.0
30;2022-03-23 06:00:00;0;2.5;0.0
31;2022-03-23 07:00:00;0;2.7;0.0
32;2022-03-23 08:00:00;0;4.0;0.01
33;2022-03-23 09:00:00;0;7.7;0.02
34;2022-03-23 10:00:00;0;10.6;0.1
35;2022-03-23 11:00:00;0;12.9;0.18
36;2022-03-23 12:00:00;0;14.3;0.24
37;2022-03-23 13:00:00;0;15.3;0.28
38;2022-03-23 14:00:00;0;15.9;0.28
39;2022-03-23 15:00:00;0;16.1;0.27
40;2022-03-23 16:00:00;0;16.0;0.24
41;2022-03-23 17:00:00;0;15.6;0.2
42;2022-03-23 18:00:00;0;14.4;0.13
43;2022-03-23 19:00:00;0;12.1;0.03
44;2022-03-23 20:00:00;0;9.6;0.01
45;2022-03-23 21:00:00;0;7.9;0.01
46;2022-03-23 22:00:00;0;7.0;0.0
47;2022-03-23 23:00:00;0;6.7;0.0
48;2022-03-24 00:00:00;0;6.1;0.0
49;2022-03-24 01:00:00;0;6.5;0.0
50;2022-03-24 02:00:00;0;6.7;0.0
51;2022-03-24 03:00:00;0;5.9;0.0
52;2022-03-24 04:00:00;0;5.4;0.0
53;2022-03-24 05:00:00;0;4.9;0.0
54;2022-03-24 06:00:00;0;4.9;0.0
55;2022-03-24 07:00:00;0;4.2;0.0
56;2022-03-24 08:00:00;0;4.1;0.0
57;2022-03-24 09:00:00;0;8.0;0.02
58;2022-03-24 10:00:00;0;12.3;0.08
59;2022-03-24 11:00:00;0;14.3;0.15
60;2022-03-24 12:00:00;0;15.7;0.2
61;2022-03-24 13:00:00;0;16.6;0.24
62;2022-03-24 14:00:00;0;17.0;0.24
63;2022-03-24 15:00:00;0;17.2;0.23
64;2022-03-24 16:00:00;0;17.2;0.19
65;2022-03-24 17:00:00;0;16.8;0.14
66;2022-03-24 18:00:00;0;15.9;0.09
67;2022-03-24 19:00:00;0;14.1;0.03
68;2022-03-24 20:00:00;0;12.1;0.01
69;2022-03-24 21:00:00;0;9.5;0.01
70;2022-03-24 22:00:00;0;7.6;0.01
71;2022-03-24 23:00:00;0;6.4;0.0
72;2022-03-25 00:00:00;0;5.9;0.0
73;2022-03-25 01:00:00;0;5.4;0.0
74;2022-03-25 02:00:00;0;5.0;0.0
75;2022-03-25 03:00:00;0;4.7;0.0
76;2022-03-25 04:00:00;0;4.3;0.0
77;2022-03-25 05:00:00;0;3.9;0.0
78;2022-03-25 06:00:00;0;3.6;0.0
79;2022-03-25 07:00:00;0;3.5;0.0
80;2022-03-25 08:00:00;0;4.9;0.01
81;2022-03-25 09:00:00;0;9.0;0.02
82;2022-03-25 10:00:00;0;12.9;0.08
83;2022-03-25 11:00:00;0;14.7;0.16
84;2022-03-25 12:00:00;0;16.0;0.21
85;2022-03-25 13:00:00;0;16.7;0.23
86;2022-03-25 14:00:00;0;17.3;0.25
87;2022-03-25 15:00:00;0;17.5;0.24
88;2022-03-25 16:00:00;0;17.3;0.21
89;2022-03-25 17:00:00;0;16.5;0.17
90;2022-03-25 18:00:00;0;15.3;0.11
91;2022-03-25 19:00:00;0;13.7;0.08
92;2022-03-25 20:00:00;0;12.3;0.05
93;2022-03-25 21:00:00;0;10.9;0.01
94;2022-03-25 22:00:00;0;9.3;0.0
95;2022-03-25 23:00:00;0;8.5;0.0
96;2022-03-26 00:00:00;0;7.8;0.0
97;2022-03-26 01:00:00;0;6.9;0.0
98;2022-03-26 02:00:00;0;6.3;0.0
99;2022-03-26 03:00:00;0;5.6;0.0
