;temp_max;temp_min;date;precip;etp
0;15.9;2.0;2022-03-23;0.0;2.24
1;17.4;4.5;2022-03-24;0.0;2.2
2;18.0;3.5;2022-03-25;0.0;1.8699999999999999
3;18.3;3.9;2022-03-26;0.0;1.8
4;18.6;3.3;2022-03-27;0.0;1.71
5;17.8;5.6;2022-03-28;0.0;1.57
6;16.5;5.0;2022-03-29;0.15;1.29
