date,temp,etp,precip
29-03-2022 18:00,13.8,0.07,0.0
29-03-2022 19:00,12.5,0.04,0.0
29-03-2022 20:00,11.4,0.02,0.0
29-03-2022 21:00,10.1,0.01,0.0
29-03-2022 22:00,8.6,0.0,0.0
29-03-2022 23:00,7.7,0.0,0.0
30-03-2022 00:00,6.9,0.0,0.0
30-03-2022 01:00,5.9,0.0,0.0
30-03-2022 02:00,5.1,0.0,0.0
30-03-2022 03:00,4.4,0.0,0.0
30-03-2022 04:00,3.6,0.0,0.0
30-03-2022 05:00,2.9,0.0,0.0
30-03-2022 06:00,2.2,0.0,0.0
30-03-2022 07:00,2.5,0.0,0.0
30-03-2022 08:00,4.6,0.01,0.0
30-03-2022 09:00,7.6,0.04,0.0
30-03-2022 10:00,11.1,0.08,0.0
30-03-2022 11:00,12.5,0.14,0.08
30-03-2022 12:00,13.3,0.19,0.08
30-03-2022 13:00,13.9,0.2,0.08
30-03-2022 14:00,14.1,0.2,0.09
30-03-2022 15:00,14.1,0.18,0.09
30-03-2022 16:00,13.6,0.16,0.09
30-03-2022 17:00,12.9,0.12,0.21
30-03-2022 18:00,12.0,0.08,0.21
30-03-2022 19:00,10.7,0.05,0.21
30-03-2022 20:00,9.8,0.03,0.16
30-03-2022 21:00,8.9,0.0,0.16
30-03-2022 22:00,8.1,0.0,0.16
30-03-2022 23:00,7.8,0.0,0.0
