,etp,precip,temp,date
54,0.03,0.0,8.2,2022-03-26 06:00:00
55,0.03,0.0,8.1,2022-03-26 07:00:00
56,0.04,0.0,9.0,2022-03-26 08:00:00
57,0.08,0.0,10.6,2022-03-26 09:00:00
58,0.12,0.0,12.4,2022-03-26 10:00:00
59,0.19,0.0,13.5,2022-03-26 11:00:00
60,0.24,0.0,14.5,2022-03-26 12:00:00
61,0.27,0.0,15.3,2022-03-26 13:00:00
62,0.27,0.0,16.0,2022-03-26 14:00:00
63,0.26,0.0,16.4,2022-03-26 15:00:00
64,0.24,0.0,16.4,2022-03-26 16:00:00
65,0.19,0.0,16.2,2022-03-26 17:00:00
66,0.13,0.0,15.2,2022-03-26 18:00:00
67,0.05,0.0,13.4,2022-03-26 19:00:00
68,0.02,0.0,11.7,2022-03-26 20:00:00
69,0.01,0.0,11.1,2022-03-26 21:00:00
70,0.01,0.0,10.2,2022-03-26 22:00:00
71,0.01,0.0,9.9,2022-03-26 23:00:00
72,0.01,0.0,9.1,2022-03-27 00:00:00
73,0.01,0.0,8.3,2022-03-27 01:00:00
74,0.01,0.0,7.3,2022-03-27 02:00:00
75,0.0,0.0,6.1,2022-03-27 03:00:00
76,0.0,0.0,5.4,2022-03-27 04:00:00
77,0.0,0.0,4.2,2022-03-27 05:00:00
78,0.0,0.0,3.2,2022-03-27 06:00:00
79,0.0,0.0,2.7,2022-03-27 07:00:00
80,0.0,0.0,4.1,2022-03-27 08:00:00
81,0.03,0.0,8.4,2022-03-27 09:00:00
82,0.1,0.0,11.6,2022-03-27 10:00:00
83,0.18,0.0,13.4,2022-03-27 11:00:00
84,0.23,0.0,15.1,2022-03-27 12:00:00
85,0.26,0.0,16.4,2022-03-27 13:00:00
86,0.27,0.0,17.3,2022-03-27 14:00:00
87,0.26,0.0,17.9,2022-03-27 15:00:00
88,0.22,0.0,17.9,2022-03-27 16:00:00
89,0.17,0.0,17.2,2022-03-27 17:00:00
90,0.1,0.0,16.1,2022-03-27 18:00:00
