date,temp_min,temp_max,etp,precip,proba_precip
2022-03-24 00:00,0.7,19.3,1.76,0.0,\N
2022-03-25 00:00,2.8,18.8,1.85,0.0,\N
2022-03-26 00:00,3.6,18.9,1.79,0.0,\N
2022-03-27 00:00,1.0,19.2,1.59,0.0,\N
2022-03-28 00:00,1.3,19.4,1.41,0.0,\N
2022-03-29 00:00,6.2,16.4,1.15,0.96,\N
2022-03-30 00:00,2.7,15.3,1.32,3.15,\N
