,precip,temp_max,temp_min,date,etp,proba_precip
0,0.0,16.4,6.3,2022-03-24,1.58,\N
1,0.0,16.3,6.5,2022-03-25,1.75,\N
2,0.0,16.0,6.3,2022-03-26,2.09,\N
3,0.0,17.2,4.7,2022-03-27,1.91,\N
4,0.0,17.6,7.6,2022-03-28,1.98,\N
5,1.17,13.9,7.3,2022-03-29,1.45,\N
6,0.0,8.2,0.4,2022-03-30,1.27,\N
