,precip,temp_max,temp_min,date,etp,proba_precip
0,0.0,18.1,2.3,2022-03-24,2.22,\N
1,0.0,17.9,4.0,2022-03-25,2.43,\N
2,0.0,18.4,4.1,2022-03-26,1.8599999999999999,\N
3,0.0,19.1,2.6,2022-03-27,1.68,\N
4,0.0,19.6,2.7,2022-03-28,1.8399999999999999,\N
5,0.06,16.1,6.5,2022-03-29,1.1500000000000001,\N
6,0.0,8.8,2.2,2022-03-30,0.9,\N
