,etp,temp,precip,date
63,0.16,16.3,0.0,2022-03-26 15:00:00
64,0.14,16.3,0.0,2022-03-26 16:00:00
65,0.11,15.8,0.0,2022-03-26 17:00:00
66,0.07,15.0,0.0,2022-03-26 18:00:00
67,0.03,13.2,0.0,2022-03-26 19:00:00
68,0.01,11.5,0.0,2022-03-26 20:00:00
69,0.0,11.1,0.0,2022-03-26 21:00:00
70,0.0,10.4,0.0,2022-03-26 22:00:00
71,0.0,9.4,0.0,2022-03-26 23:00:00
72,0.0,10.1,0.0,2022-03-27 00:00:00
73,0.0,9.8,0.0,2022-03-27 01:00:00
74,0.0,9.4,0.0,2022-03-27 02:00:00
75,0.0,8.9,0.0,2022-03-27 03:00:00
76,0.0,7.8,0.0,2022-03-27 04:00:00
77,0.0,7.6,0.0,2022-03-27 05:00:00
78,0.0,7.3,0.0,2022-03-27 06:00:00
79,0.0,7.1,0.0,2022-03-27 07:00:00
80,0.0,8.2,0.0,2022-03-27 08:00:00
81,0.02,11.1,0.0,2022-03-27 09:00:00
82,0.09,13.7,0.0,2022-03-27 10:00:00
83,0.14,15.6,0.0,2022-03-27 11:00:00
84,0.17,16.9,0.0,2022-03-27 12:00:00
85,0.18,17.6,0.0,2022-03-27 13:00:00
86,0.18,18.0,0.0,2022-03-27 14:00:00
87,0.16,18.1,0.0,2022-03-27 15:00:00
88,0.14,17.7,0.0,2022-03-27 16:00:00
89,0.11,16.8,0.0,2022-03-27 17:00:00
90,0.07,15.6,0.0,2022-03-27 18:00:00
91,0.05,14.1,0.0,2022-03-27 19:00:00
92,0.02,13.2,0.0,2022-03-27 20:00:00
93,0.0,12.4,0.0,2022-03-27 21:00:00
94,0.0,11.5,0.0,2022-03-27 22:00:00
95,0.0,11.0,0.0,2022-03-27 23:00:00
96,0.0,10.7,0.0,2022-03-28 00:00:00
97,0.0,10.2,0.0,2022-03-28 01:00:00
98,0.0,9.8,0.0,2022-03-28 02:00:00
99,0.0,9.3,0.0,2022-03-28 03:00:00
100,0.0,8.7,0.0,2022-03-28 04:00:00
101,0.0,8.0,0.0,2022-03-28 05:00:00
102,0.0,7.4,0.0,2022-03-28 06:00:00
103,0.01,7.6,0.0,2022-03-28 07:00:00
104,0.02,9.5,0.0,2022-03-28 08:00:00
105,0.04,12.2,0.0,2022-03-28 09:00:00
106,0.08,15.4,0.0,2022-03-28 10:00:00
107,0.12,16.6,0.0,2022-03-28 11:00:00
108,0.16,17.3,0.0,2022-03-28 12:00:00
109,0.16,17.8,0.0,2022-03-28 13:00:00
110,0.14,17.8,0.01,2022-03-28 14:00:00
111,0.1,17.4,0.01,2022-03-28 15:00:00
112,0.09,16.7,0.01,2022-03-28 16:00:00
113,0.07,16.1,0.04,2022-03-28 17:00:00
114,0.05,15.3,0.04,2022-03-28 18:00:00
115,0.04,14.2,0.04,2022-03-28 19:00:00
116,0.02,13.0,0.0,2022-03-28 20:00:00
117,0.0,11.7,0.0,2022-03-28 21:00:00
118,0.0,10.4,0.0,2022-03-28 22:00:00
119,0.0,10.2,0.0,2022-03-28 23:00:00
120,0.0,10.4,0.0,2022-03-29 00:00:00
121,0.0,10.5,0.0,2022-03-29 01:00:00
122,0.0,10.2,0.0,2022-03-29 02:00:00
123,0.0,9.7,0.0,2022-03-29 03:00:00
124,0.0,9.2,0.0,2022-03-29 04:00:00
125,0.0,9.1,0.0,2022-03-29 05:00:00
126,0.0,9.1,0.0,2022-03-29 06:00:00
127,0.0,9.2,0.0,2022-03-29 07:00:00
128,0.02,8.7,0.0,2022-03-29 08:00:00
129,0.04,10.1,0.0,2022-03-29 09:00:00
130,0.08,11.7,0.0,2022-03-29 10:00:00
131,0.12,12.7,0.01,2022-03-29 11:00:00
132,0.17,13.6,0.01,2022-03-29 12:00:00
133,0.18,14.3,0.01,2022-03-29 13:00:00
134,0.17,14.3,0.24,2022-03-29 14:00:00
135,0.16,14.0,0.24,2022-03-29 15:00:00
136,0.14,13.3,0.24,2022-03-29 16:00:00
137,0.12,12.8,0.06,2022-03-29 17:00:00
138,0.09,12.2,0.06,2022-03-29 18:00:00
139,0.06,11.1,0.06,2022-03-29 19:00:00
140,0.04,9.9,0.0,2022-03-29 20:00:00
141,0.02,8.5,0.0,2022-03-29 21:00:00
142,0.01,6.9,0.0,2022-03-29 22:00:00
143,0.01,6.0,0.0,2022-03-29 23:00:00
144,0.01,5.4,0.0,2022-03-30 00:00:00
145,0.01,4.6,0.0,2022-03-30 01:00:00
146,0.01,3.9,0.0,2022-03-30 02:00:00
147,0.0,3.2,0.0,2022-03-30 03:00:00
148,0.0,2.4,0.0,2022-03-30 04:00:00
149,0.0,1.7,0.0,2022-03-30 05:00:00
150,0.0,1.2,0.0,2022-03-30 06:00:00
151,0.01,1.1,0.0,2022-03-30 07:00:00
152,0.02,1.9,0.0,2022-03-30 08:00:00
153,0.04,3.2,0.0,2022-03-30 09:00:00
154,0.07,4.8,0.0,2022-03-30 10:00:00
155,0.1,5.9,0.0,2022-03-30 11:00:00
156,0.13,6.8,0.0,2022-03-30 12:00:00
157,0.14,7.6,0.0,2022-03-30 13:00:00
158,0.15,7.7,0.0,2022-03-30 14:00:00
159,0.14,7.4,0.0,2022-03-30 15:00:00
160,0.13,6.7,0.0,2022-03-30 16:00:00
161,0.11,5.9,0.0,2022-03-30 17:00:00
162,0.08,4.9,0.0,2022-03-30 18:00:00
163,0.06,3.6,0.0,2022-03-30 19:00:00
164,0.05,2.8,0.0,2022-03-30 20:00:00
165,0.03,2.0,0.0,2022-03-30 21:00:00
166,0.03,1.0,0.0,2022-03-30 22:00:00
167,0.02,0.4,0.0,2022-03-30 23:00:00
