,date,temp_min,temp_max,etp,precip,proba_precip
0,24-03-2022 00:00,6.1,17.1,1.54,0.0,\N
1,25-03-2022 00:00,7.3,16.9,1.48,0.0,\N
2,26-03-2022 00:00,6.0,16.3,1.27,0.0,\N
3,27-03-2022 00:00,7.1,18.1,1.33,0.0,\N
4,28-03-2022 00:00,7.4,17.8,1.1,0.15,\N
5,29-03-2022 00:00,6.0,14.3,1.43,0.93,\N
6,30-03-2022 00:00,0.4,7.7,1.34,0.0,\N
