,precip,temp_max,temp_min,date,etp,proba_precip
0,0.0,16.8,6.1,2022-03-24,1.53,\N
1,0.0,16.7,6.8,2022-03-25,1.51,\N
2,0.0,16.3,6.1,2022-03-26,1.34,\N
3,0.0,18.1,7.1,2022-03-27,1.33,\N
4,0.15,17.8,7.4,2022-03-28,1.1,\N
5,0.93,14.3,6.0,2022-03-29,1.43,\N
6,0.0,7.7,0.4,2022-03-30,1.34,\N
